表示順位,管理番号,検索キー,所属,府県,1次細分,旧2次細分,市町村,区分,標高,情報発表名,観測所名,読み,注意報期間,注意報基準,警報期間,警報基準,短時間期間,短時間基準,記録雪期間,記録雪基準,積雪厳重,積雪特警,JMA番号,気温JMA番号,緯度,経度
必須：とりあえず表示順に連番としておくと行の順序を変えて編集した後にすぐ戻せて便利,任意：使ってない,必須：ダウンロード・デコード・URL生成の際に観測所を特定するために使用する文字列。複数の値が必要な場合はコロン区切りなどで,必須：気象庁=1、河川=2、道路=3、自治体=10（obsmasterルールに従う）。青森原子力は100を割り当て,必須：都道府県抜きの府県名,任意：使ってない,任意：使ってない,必須：ページに表示される市町村名,必須：「平」「山」始まりの文字列の場合は情報掲載対象として扱い、濃く着色する。それ以外で「m未満」「平」「m以上」「山」を含むときは薄く着色する,任意：ページに表示される標高,必須：表示される観測所名もしくは情報発表名。この列の値を基にシート間の行整合を行うため重複は許されない,任意：ページ上で観測所名を情報発表名に併記する必要がある場合に記載,必須：情報発表名ソートに必要,任意：「A時間でBcm」のAの値。報知・表示して欲しい場合のみ記載,任意：「A時間でBcm」のBの値。報知・表示して欲しい場合のみ記載,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：同左,任意：厳重警戒の閾値となる積雪深,任意：特別警報の閾値となる50年に一度の積雪深,必須：積雪観測所がobsmasterに記載されている場合、所属番号+府県番号+観測所番号の文法で記述。BUFR等で値を取得する際に地点特定材料となる。記載されていない場合は空欄,必須：気温観測所について同左,必須：観測所の緯度,必須：観測所の経度
118,30025,黒井,3,新潟,上越,上越市,上越市,200m未満,0,黒井(道),,ｸﾛｲ,,,,,,,,,,,354063,,37.189773,138.276468
119,30026,五智,3,新潟,上越,上越市,上越市,200m未満,20,五智(道),,ｺﾞﾁ,,,,,,,,,,,,,37.162826,138.215498
120,54047,148,10,新潟,上越,上越市,上越市,200m未満,10,上越(県),,ｼﾞｮｳｴﾂ,,,,,,,,,,,,,37.108946,138.260102
121,30024,上下浜,3,新潟,上越,上越市,上越市,200m未満,10,上下浜(道),,ｼﾞｮｳｹﾞﾊﾏ,,,,,,,,,,,354062,,37.248485,138.355099
122,30052,高田,3,新潟,上越,上越市,上越市,200m未満,20,高田(道),,ﾀｶﾀﾞ,,,,,,,,,,,354050,,37.097924,138.24498
123,30053,寺,3,新潟,上越,上越市,上越市,200m未満,10,寺(道),,ﾃﾗ,,,,,,,,,,,,,37.128352,138.268513
124,30018,長浜,3,新潟,上越,上越市,上越市,200m未満,10,長浜(道),,ﾅｶﾞﾊﾏ,,,,,,,,,,,354045,,37.16496,138.182978
125,30023,名立大橋,3,新潟,上越,上越市,上越市,200m未満,10,名立大橋(道),,ﾅﾀﾞﾁｵｵﾊｼ,,,,,,,,,,,354060,,37.160103,138.084594
126,54046,142,10,新潟,上越,上越市,上越市,200m以上,240,平方(県),,ﾋﾗｶﾀ,,,,,,,,,,,,,37.102124,138.400337
127,30051,藤沢,3,新潟,上越,上越市,上越市,200m以上,220,藤沢(道),,ﾌｼﾞｻﾜ,,,,,,,,,,,354049,,36.987972,138.220424
